filepath,label
n02085620-Chihuahua/n02085620_2921.jpg,Chihuahua
n02085620-Chihuahua/n02085620_7613.jpg,Chihuahua
n02085620-Chihuahua/n02085620_4290.jpg,Chihuahua
n02085620-Chihuahua/n02085620_3208.jpg,Chihuahua
n02085620-Chihuahua/n02085620_1346.jpg,Chihuahua
n02085620-Chihuahua/n02085620_4159.jpg,Chihuahua
n02085620-Chihuahua/n02085620_5771.jpg,Chihuahua
n02085620-Chihuahua/n02085620_14252.jpg,Chihuahua
n02085620-Chihuahua/n02085620_4673.jpg,Chihuahua
n02085620-Chihuahua/n02085620_8637.jpg,Chihuahua
n02085620-Chihuahua/n02085620_4572.jpg,Chihuahua
n02085620-Chihuahua/n02085620_477.jpg,Chihuahua
n02085620-Chihuahua/n02085620_4980.jpg,Chihuahua
n02085620-Chihuahua/n02085620_500.jpg,Chihuahua
n02085620-Chihuahua/n02085620_326.jpg,Chihuahua
n02085620-Chihuahua/n02085620_11258.jpg,Chihuahua
n02085620-Chihuahua/n02085620_7292.jpg,Chihuahua
n02085620-Chihuahua/n02085620_5661.jpg,Chihuahua
n02085620-Chihuahua/n02085620_588.jpg,Chihuahua
n02085620-Chihuahua/n02085620_3681.jpg,Chihuahua
n02085620-Chihuahua/n02085620_11140.jpg,Chihuahua
n02085620-Chihuahua/n02085620_3423.jpg,Chihuahua
n02085620-Chihuahua/n02085620_4814.jpg,Chihuahua
n02085620-Chihuahua/n02085620_2188.jpg,Chihuahua
n02085620-Chihuahua/n02085620_4290.jpg,Chihuahua
n02085620-Chihuahua/n02085620_4700.jpg,Chihuahua
n02085620-Chihuahua/n02085620_1765.jpg,Chihuahua
n02085620-Chihuahua/n02085620_2204.jpg,Chihuahua
n02085620-Chihuahua/n02085620_9351.jpg,Chihuahua
n02085620-Chihuahua/n02085620_11696.jpg,Chihuahua
n02085620-Chihuahua/n02085620_1271.jpg,Chihuahua
n02085620-Chihuahua/n02085620_2517.jpg,Chihuahua
n02085620-Chihuahua/n02085620_7436.jpg,Chihuahua
n02085620-Chihuahua/n02085620_3402.jpg,Chihuahua
n02085620-Chihuahua/n02085620_12718.jpg,Chihuahua
n02085620-Chihuahua/n02085620_712.jpg,Chihuahua
n02085620-Chihuahua/n02085620_8636.jpg,Chihuahua
